epoch,train_loss,test_loss,train_accuracy,test_accuracy
274,0.4301,1.707,0.8934,0.52
275,0.4122,1.6225,0.895,0.536
276,0.4171,1.774,0.89,0.51
277,0.4038,1.6635,0.8994,0.513
278,0.4049,1.7188,0.896,0.503
279,0.4025,1.6916,0.9008,0.517
280,0.4113,1.8198,0.8978,0.491
281,0.3964,1.7866,0.9008,0.515
282,0.402,1.7343,0.9018,0.517
283,0.4007,1.6483,0.8966,0.51
284,0.4062,1.7208,0.8992,0.507
285,0.4177,1.7029,0.8934,0.508
286,0.3996,1.6656,0.897,0.524
287,0.4012,1.709,0.894,0.504
288,0.395,1.7005,0.899,0.498
289,0.4004,1.652,0.896,0.525
290,0.4003,1.6676,0.9,0.51
291,0.3821,1.7055,0.9062,0.51
292,0.3727,1.8039,0.9036,0.518
293,0.3929,1.7991,0.8958,0.518
294,0.3993,1.779,0.8936,0.487
295,0.3895,1.6506,0.8998,0.525
296,0.3764,1.7126,0.906,0.498
297,0.3702,1.7564,0.9094,0.517
298,0.3762,1.8343,0.9022,0.5
299,0.3713,1.7851,0.9102,0.493
300,0.385,1.6542,0.9064,0.516
301,0.3666,1.6834,0.9046,0.529
302,0.3573,1.7094,0.9076,0.517
303,0.3622,1.5769,0.911,0.541
304,0.3536,1.7478,0.9132,0.514
305,0.3652,1.8083,0.9078,0.513
306,0.3576,1.7101,0.9082,0.514
307,0.3553,1.6791,0.9092,0.522
308,0.3527,1.7347,0.9094,0.525
309,0.3601,1.7079,0.9112,0.51
310,0.3597,1.8185,0.912,0.502
311,0.3294,1.6922,0.914,0.507
312,0.3534,1.8394,0.908,0.491
313,0.342,1.7241,0.915,0.496
314,0.346,1.7577,0.9106,0.508
315,0.3477,1.8545,0.9146,0.491
316,0.3289,1.7684,0.9214,0.504
317,0.3345,1.78,0.917,0.522
318,0.3283,1.9226,0.9152,0.492
319,0.3455,1.7438,0.9078,0.533
320,0.3267,1.7927,0.916,0.52
321,0.3284,1.7005,0.921,0.523
322,0.3272,1.8561,0.918,0.492
323,0.3336,1.6876,0.9164,0.519
324,0.3137,1.916,0.922,0.507
325,0.3092,1.7077,0.9198,0.523
326,0.3372,1.6963,0.9186,0.519
327,0.3197,1.7025,0.9236,0.536
328,0.3243,1.8103,0.9186,0.47
329,0.3052,1.7515,0.9238,0.509
330,0.3303,1.8111,0.9154,0.508
331,0.319,2.0015,0.915,0.479
332,0.3097,1.8744,0.9216,0.498
333,0.3179,1.8161,0.9188,0.495
334,0.3217,1.8503,0.9202,0.499
335,0.3397,1.7183,0.9176,0.527
336,0.3202,1.7442,0.9176,0.515
337,0.3377,1.9111,0.9154,0.499
338,0.3068,1.7774,0.9262,0.516
339,0.31,1.791,0.9208,0.506
340,0.3228,1.8372,0.9154,0.482
341,0.2923,1.8364,0.9268,0.509
342,0.3054,1.7266,0.9238,0.504
343,0.3043,1.8283,0.9232,0.498
344,0.2939,1.7874,0.9262,0.516
345,0.3074,1.7856,0.9236,0.505
346,0.2952,1.8174,0.9266,0.503
347,0.3009,1.9112,0.9274,0.491
348,0.3175,1.8564,0.9194,0.487
349,0.2935,1.8773,0.9268,0.5
350,0.3147,1.8212,0.9146,0.495
351,0.2945,2.0518,0.927,0.486
352,0.2829,1.9409,0.9272,0.497
353,0.2787,1.902,0.9332,0.48
354,0.2833,1.8658,0.9286,0.492
355,0.2765,1.9656,0.9282,0.497
356,0.2871,1.8303,0.929,0.495
357,0.2976,1.9839,0.9296,0.477
358,0.2778,1.9948,0.93,0.492
359,0.2869,1.8384,0.9328,0.495
360,0.2919,1.9017,0.9242,0.487
361,0.2888,1.9948,0.9278,0.503
362,0.2748,1.8417,0.9352,0.51
363,0.2913,1.9306,0.9298,0.488
364,0.2728,1.8715,0.9322,0.489
365,0.2613,1.9242,0.9376,0.468
366,0.2727,2.0688,0.928,0.473
367,0.2659,1.8443,0.9368,0.49
368,0.2719,2.1256,0.9336,0.503
369,0.2763,2.0405,0.9314,0.476
370,0.2757,2.032,0.9286,0.492
371,0.2719,1.9165,0.9304,0.476
372,0.2715,1.9244,0.928,0.503
373,0.2652,1.9042,0.9356,0.479
374,0.2618,1.9428,0.9318,0.483
375,0.2706,1.8923,0.9274,0.514
376,0.2516,1.8382,0.9364,0.524
377,0.2522,2.0058,0.9348,0.498
378,0.2687,1.9263,0.9288,0.492
379,0.2673,1.805,0.934,0.522
380,0.2558,2.0477,0.9306,0.487
381,0.2643,1.9145,0.9338,0.504
382,0.2569,2.0189,0.9342,0.497
383,0.2404,1.903,0.9396,0.486
384,0.255,2.0223,0.9338,0.477
385,0.2576,2.012,0.9364,0.489
386,0.2645,2.1426,0.9326,0.479
387,0.2785,2.0329,0.9278,0.508
388,0.2553,2.1159,0.9348,0.503
389,0.2542,2.0071,0.9366,0.51
390,0.2442,2.0872,0.939,0.473
391,0.2555,1.911,0.9308,0.507
392,0.253,1.9526,0.932,0.501
393,0.2514,2.1247,0.9406,0.472
394,0.2495,2.0325,0.9342,0.503
395,0.2512,2.0538,0.9384,0.498
396,0.2526,1.9894,0.9362,0.503
397,0.244,1.9649,0.9396,0.518
398,0.2492,1.9429,0.9368,0.491
399,0.2554,2.0836,0.9392,0.495
400,0.2313,2.0266,0.9424,0.512
401,0.2335,2.0733,0.9408,0.511
402,0.2379,1.8209,0.941,0.51
403,0.2455,2.0958,0.9354,0.5
404,0.255,2.0641,0.9362,0.502
405,0.2424,2.036,0.9346,0.506
406,0.2437,2.0669,0.9358,0.497
407,0.2515,2.0751,0.932,0.472
408,0.2413,2.068,0.9354,0.478
409,0.2731,2.1013,0.9346,0.485
410,0.2498,1.9931,0.9418,0.508
411,0.2287,1.9928,0.9462,0.508
412,0.2358,1.8558,0.9368,0.516
413,0.2475,2.0344,0.9416,0.482
414,0.2313,2.1798,0.9402,0.509
415,0.2262,2.1073,0.94,0.495
416,0.2225,2.1898,0.942,0.493
417,0.2421,2.0101,0.9384,0.492
418,0.221,2.1318,0.9434,0.509
419,0.2299,2.1571,0.9384,0.488
420,0.2176,2.1328,0.9452,0.483
421,0.2271,2.284,0.9414,0.492
422,0.2124,2.1919,0.95,0.506
423,0.2146,1.991,0.9468,0.513
424,0.22,2.0893,0.9412,0.502
425,0.2071,2.177,0.9496,0.496
426,0.2101,2.2209,0.9488,0.498
427,0.2139,2.1182,0.9418,0.477
428,0.2278,2.051,0.9424,0.504
429,0.221,2.0106,0.9418,0.498
430,0.22,2.2903,0.949,0.498
431,0.2139,1.9937,0.9488,0.494
432,0.2077,2.157,0.9506,0.488
433,0.2005,2.1037,0.9486,0.509
434,0.2089,1.9707,0.9474,0.5
435,0.214,2.1504,0.9462,0.504
436,0.2392,2.1481,0.9428,0.484
437,0.2329,2.2607,0.9402,0.481
438,0.2275,2.046,0.9436,0.477
439,0.2193,2.1055,0.9458,0.489
440,0.205,2.2181,0.9476,0.477
441,0.2214,2.0337,0.9454,0.489
442,0.2067,2.3413,0.946,0.468
443,0.2242,2.151,0.9378,0.496
444,0.2025,2.0608,0.9498,0.484
445,0.2009,2.1232,0.9524,0.497
446,0.2157,2.2469,0.9472,0.501
447,0.1987,2.1754,0.9514,0.463
448,0.2065,2.3585,0.9418,0.473
449,0.2113,2.1762,0.944,0.481
450,0.1992,2.3642,0.949,0.469
451,0.1976,2.1774,0.9514,0.485
452,0.2049,2.3767,0.9474,0.515
453,0.2002,2.2536,0.9448,0.503
454,0.2198,2.3579,0.944,0.479
455,0.196,2.3347,0.9496,0.5
456,0.2122,1.9471,0.946,0.502
457,0.2065,2.0467,0.9452,0.521
458,0.2007,2.1784,0.947,0.493
459,0.1867,2.3502,0.9562,0.478
460,0.1936,2.2814,0.9482,0.503
461,0.1954,2.1511,0.9482,0.497
462,0.2118,2.3779,0.9454,0.5
463,0.1828,2.1268,0.9516,0.498
464,0.2031,2.2167,0.9456,0.499
465,0.1915,2.1961,0.9506,0.48
466,0.1851,2.0797,0.9492,0.475
467,0.1868,2.22,0.9506,0.489
468,0.2036,2.2238,0.9476,0.48
469,0.2059,1.8455,0.9454,0.514
470,0.2036,2.1614,0.9506,0.479
471,0.1762,2.2797,0.9548,0.477
472,0.1849,2.3178,0.9506,0.481
473,0.2009,2.1059,0.9498,0.486
474,0.1783,2.2542,0.9524,0.495
475,0.1906,2.1232,0.9486,0.489
476,0.1995,1.94,0.9454,0.535
477,0.1999,1.845,0.9498,0.512
478,0.1857,2.1067,0.954,0.484
479,0.1837,2.2539,0.953,0.475
480,0.1942,2.1657,0.946,0.477
481,0.1947,2.3286,0.95,0.49
482,0.2032,2.2214,0.9464,0.47
483,0.1896,2.1585,0.9494,0.505
484,0.2014,2.1171,0.945,0.511
485,0.2043,2.5605,0.9414,0.474
486,0.1871,2.2804,0.948,0.491
487,0.1858,2.4926,0.9474,0.465
488,0.188,2.0576,0.9524,0.483
489,0.1946,2.2649,0.9534,0.51
490,0.173,2.1153,0.957,0.495
491,0.1885,2.081,0.954,0.493
492,0.1854,2.1352,0.9516,0.497
493,0.1848,2.4109,0.9538,0.493
494,0.1781,2.2918,0.9534,0.505
495,0.188,2.3547,0.9478,0.496
496,0.1772,2.3341,0.9566,0.487
497,0.1757,2.273,0.9516,0.502
498,0.1839,2.312,0.9514,0.475
499,0.1752,2.3491,0.956,0.495
500,0.1737,2.451,0.9538,0.464
501,0.1732,2.4627,0.9568,0.476
